0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
30445407,7,,Pappa2,GENE,,Serum=ORGAN; ,,IGFBP-5,COMPOUND,,POSITIVE,ACTIVE,increase,Deletion of Pappa2 increased circulating IGFBP-5 levels and reduced markers of bone turnover (PINP and TRACP 5b).,Directed Link,Negative Increase
30445412,8,,dexmedetomidine,COMPOUND,,NA;,,postoperative pain,PHENOTYPE,,POSITIVE,ACTIVE,reduce,"Dexmedetomidine vs. Placebo: High to moderate quality evidence suggested that dexmedetomidine reduced postoperative pain (WMD -0.25?cm, 95%CI -0.43 to -0.07?cm on a 10?cm visual analogue scale), postoperative nausea and vomiting (PONV, RR 0.57, 95%CI 0.39 to 0.84), hypertension (RR 0.37, 95%CI 0.22 to 0.61) and tachycardia (RR 0.32, 95%CI 0.12 to 0.85) with no significant increase of hypotension and bradycardia.",Directed Link,Negative Cause
30445412,8,,dexmedetomidine,COMPOUND,,NA;,,postoperative nausea,PHENOTYPE,,POSITIVE,ACTIVE,reduce,"Dexmedetomidine vs. Placebo: High to moderate quality evidence suggested that dexmedetomidine reduced postoperative pain (WMD -0.25?cm, 95%CI -0.43 to -0.07?cm on a 10?cm visual analogue scale), postoperative nausea and vomiting (PONV, RR 0.57, 95%CI 0.39 to 0.84), hypertension (RR 0.37, 95%CI 0.22 to 0.61) and tachycardia (RR 0.32, 95%CI 0.12 to 0.85) with no significant increase of hypotension and bradycardia.",Directed Link,Negative Cause
30445412,8,,dexmedetomidine,COMPOUND,,NA;,,vomiting,PHENOTYPE,,POSITIVE,ACTIVE,reduce,"Dexmedetomidine vs. Placebo: High to moderate quality evidence suggested that dexmedetomidine reduced postoperative pain (WMD -0.25?cm, 95%CI -0.43 to -0.07?cm on a 10?cm visual analogue scale), postoperative nausea and vomiting (PONV, RR 0.57, 95%CI 0.39 to 0.84), hypertension (RR 0.37, 95%CI 0.22 to 0.61) and tachycardia (RR 0.32, 95%CI 0.12 to 0.85) with no significant increase of hypotension and bradycardia.",Directed Link,Negative Cause
30445412,8,,dexmedetomidine,COMPOUND,,NA;,,hypertension,PHENOTYPE,,POSITIVE,ACTIVE,reduce,"Dexmedetomidine vs. Placebo: High to moderate quality evidence suggested that dexmedetomidine reduced postoperative pain (WMD -0.25?cm, 95%CI -0.43 to -0.07?cm on a 10?cm visual analogue scale), postoperative nausea and vomiting (PONV, RR 0.57, 95%CI 0.39 to 0.84), hypertension (RR 0.37, 95%CI 0.22 to 0.61) and tachycardia (RR 0.32, 95%CI 0.12 to 0.85) with no significant increase of hypotension and bradycardia.",Directed Link,Negative Cause
30445412,8,,Dexmedetomidine,COMPOUND,,NA;,,tachycardia,PHENOTYPE,,POSITIVE,ACTIVE,reduce,"Dexmedetomidine vs. Placebo: High to moderate quality evidence suggested that dexmedetomidine reduced postoperative pain (WMD -0.25?cm, 95%CI -0.43 to -0.07?cm on a 10?cm visual analogue scale), postoperative nausea and vomiting (PONV, RR 0.57, 95%CI 0.39 to 0.84), hypertension (RR 0.37, 95%CI 0.22 to 0.61) and tachycardia (RR 0.32, 95%CI 0.12 to 0.85) with no significant increase of hypotension and bradycardia.",Directed Link,Negative Cause
30445423,6,,HAI-2,GENE,,NA;,,prostasin,GENE,,POSITIVE,ACTIVE,regulate,"HAI-2 has been implicated in the regulation of the activities of several serine proteases including prostasin and matriptase, which are both important for epithelial barrier formation.",Directed Link,Directed Link
30445423,6,,HAI-2,GENE,,NA;,,matriptase,GENE,,POSITIVE,ACTIVE,regulate,"HAI-2 has been implicated in the regulation of the activities of several serine proteases including prostasin and matriptase, which are both important for epithelial barrier formation.",Directed Link,Directed Link
30445423,6,,prostasin,GENE,,NA;,,epithelial barrier,GENE,,POSITIVE,ACTIVE,formate,"HAI-2 has been implicated in the regulation of the activities of several serine proteases including prostasin and matriptase, which are both important for epithelial barrier formation.",Directed Link,Positive Increase
30445423,6,,matriptase,GENE,,NA;,,epithelial barrier,GENE,,POSITIVE,ACTIVE,formate,"HAI-2 has been implicated in the regulation of the activities of several serine proteases including prostasin and matriptase, which are both important for epithelial barrier formation.",Directed Link,Positive Increase
30445425,0,,PEPCK1 antisense oligonucleotide,GENE,,NA;,,hepatic glycogen synthesis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,impair,PEPCK1 antisense oligonucleotide prevents adiposity and impairs hepatic glycogen synthesis in high-fat male fed rats.,Directed Link,Positive Decrease
30445425,1,increased transcription of,phosphoenolpyruvate carboxykinase 1,ENZYME,,NA;,increased,hepatic gluconeogenesis ,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,ascribe,"The increased hepatic gluconeogenesis in type 2 diabetes mellitus has often been ascribed to increased transcription of phosphoenolpyruvate carboxykinase 1, cystolic form (PEPCK1), although recent evidence has questioned this attribution.",Directed Link,Positive Increase
30445425,1,increased transcription of,PEPCK1,ENZYME,,NA;,increased,hepatic gluconeogenesis ,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,ascribe,"The increased hepatic gluconeogenesis in type 2 diabetes mellitus has often been ascribed to increased transcription of phosphoenolpyruvate carboxykinase 1, cystolic form (PEPCK1), although recent evidence has questioned this attribution.",Directed Link,Positive Increase
30445425,5,,PEPCK1 ASO ,DNA,,NA;,,white adipose tissue mass,CELL,,POSITIVE,ACTIVE,decrease,"In contrast, PEPCK1 ASO decreased the white adipose tissue mass in HFF rats but without altering basal rates of lipolysis, de novo lipogenesis, or glyceroneogenesis in vivo.",Directed Link,Negative Cause
30445425,7,,PEPCK1 ASO ,DNA,,NA;,,hepatic steatosis,PHENOTYPE,,POSITIVE,ACTIVE,worsen,"PEPCK1 ASO worsened hepatic steatosis, although without additional impairments in hepatic insulin signaling or activation of inflammatory signals in the liver.",Directed Link,Negative Cause
30445425,8,decreased,synthesis of glycogen,BIOLOGICAL PROCESS,,NA;,,hepatic glycogen synthesis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,decrease,"Instead, the development of hepatic insulin resistance and the decrease in hepatic glycogen synthesis during a hyperglycemic clamp was attributed to a decrease in hepatic glucokinase (GCK) expression and decreased synthesis of glycogen via the direct pathway.",Directed Link,Negative Decrease
30445425,8,decrease in,hepatic glucokinase,ENZYME,,NA;,,hepatic glycogen synthesis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,decrease,"Instead, the development of hepatic insulin resistance and the decrease in hepatic glycogen synthesis during a hyperglycemic clamp was attributed to a decrease in hepatic glucokinase (GCK) expression and decreased synthesis of glycogen via the direct pathway.",Directed Link,Negative Decrease
30445425,8,decrease in,GCK,ENZYME,,NA;,,hepatic glycogen synthesis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,decrease,"Instead, the development of hepatic insulin resistance and the decrease in hepatic glycogen synthesis during a hyperglycemic clamp was attributed to a decrease in hepatic glucokinase (GCK) expression and decreased synthesis of glycogen via the direct pathway.",Directed Link,Negative Decrease
30445425,8,decreased,synthesis of glycogen,BIOLOGICAL PROCESS,,NA;,,hepatic insulin resistance,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,develop,"Instead, the development of hepatic insulin resistance and the decrease in hepatic glycogen synthesis during a hyperglycemic clamp was attributed to a decrease in hepatic glucokinase (GCK) expression and decreased synthesis of glycogen via the direct pathway.",Directed Link,Negative Increase
30445425,8,decrease in,hepatic glucokinase,ENZYME,,NA;,,hepatic insulin resistance,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,develop,"Instead, the development of hepatic insulin resistance and the decrease in hepatic glycogen synthesis during a hyperglycemic clamp was attributed to a decrease in hepatic glucokinase (GCK) expression and decreased synthesis of glycogen via the direct pathway.",Directed Link,Negative Increase
30445425,8,decrease in,GCK,ENZYME,,NA;,,hepatic insulin resistance,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,develop,"Instead, the development of hepatic insulin resistance and the decrease in hepatic glycogen synthesis during a hyperglycemic clamp was attributed to a decrease in hepatic glucokinase (GCK) expression and decreased synthesis of glycogen via the direct pathway.",Directed Link,Negative Increase
30445425,10,,PEPCK1,GENE,,NA;,,cellular metabolism,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,is integral,"These studies have demonstrated that PEPCK1 is integral to coordinating cellular metabolism in the liver and adipose tissue, although it does not directly effect hepatic glucose production or adipose glyceroneogenesis.",Directed Link,Directed Link
30445451,0,Loss of,Ataxin-7,PROTEIN,,Hedgehog=ORGANISM; ,,ocular coloboma,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Loss of zebrafish Ataxin-7, a SAGA subunit responsible for SCA7 retinopathy, causes ocular coloboma and malformation of photoreceptors.",Directed Link,Negative Increase
30445451,0,Loss of,Ataxin-7,PROTEIN,,Hedgehog=ORGANISM; ,,malformation of photoreceptors,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Loss of zebrafish Ataxin-7, a SAGA subunit responsible for SCA7 retinopathy, causes ocular coloboma and malformation of photoreceptors.",Directed Link,Negative Increase
30445451,1,,Polyglutamine (polyQ) expansion,PHENOTYPE,,Hedgehog=ORGANISM; ,,spinocerebellar ataxia type 7,PHENOTYPE,,POSITIVE,ACTIVE,result,Polyglutamine (polyQ) expansion in Ataxin-7 (ATXN7) results in spinocerebellar ataxia type 7 (SCA7) and causes visual impairment.,Directed Link,Positive Cause
30445451,1,,Polyglutamine (polyQ) expansion,PHENOTYPE,,Hedgehog=ORGANISM; ,,SCA7,PHENOTYPE,,POSITIVE,ACTIVE,result,Polyglutamine (polyQ) expansion in Ataxin-7 (ATXN7) results in spinocerebellar ataxia type 7 (SCA7) and causes visual impairment.,Directed Link,Positive Cause
30445451,1,,spinocerebellar ataxia type 7,PHENOTYPE,,Hedgehog=ORGANISM; ,,visual impairment,PHENOTYPE,,POSITIVE,ACTIVE,cause,Polyglutamine (polyQ) expansion in Ataxin-7 (ATXN7) results in spinocerebellar ataxia type 7 (SCA7) and causes visual impairment.,Directed Link,Positive Cause
30445451,1,,SCA7,PHENOTYPE,,Hedgehog=ORGANISM; ,,visual impairment,PHENOTYPE,,POSITIVE,ACTIVE,cause,Polyglutamine (polyQ) expansion in Ataxin-7 (ATXN7) results in spinocerebellar ataxia type 7 (SCA7) and causes visual impairment.,Directed Link,Positive Cause
30445451,2,,SCA7 photoreceptors ,CELL,,Hedgehog=ORGANISM; ,,outer segments ,PROTEIN,,POSITIVE,ACTIVE,lose,"SCA7 photoreceptors progressively lose their outer segments (OSs), a structure essential for their visual function.",Directed Link,Negative Cause
30445451,5,,Ataxin-7,GENE,depletion ,Hedgehog=ORGANISM; ,,retinal degeneration,PHENOTYPE,,POSITIVE,ACTIVE,lead,"While Ataxin-7 depletion in flies led to gross retinal degeneration, in zebrafish it primarily results in ocular coloboma, a structural malformation responsible for pediatric visual impairment in human.",Directed Link,Negative Increase
30445451,5,,Ataxin-7,GENE,depletion ,Hedgehog=ORGANISM; ,,ocular coloboma,PHENOTYPE,,POSITIVE,ACTIVE,result,"While Ataxin-7 depletion in flies led to gross retinal degeneration, in zebrafish it primarily results in ocular coloboma, a structural malformation responsible for pediatric visual impairment in human.",Directed Link,Negative Increase
30445451,6,,ATXN7,GENE,inactivation,Hedgehog=ORGANISM; ,,Hedgehog signaling,MOLECULAR FUNCTION,,POSITIVE,ACTIVE,lead,"ATXN7 inactivation leads to elevated Hedgehog signaling in the forebrain, causing an alteration of proximo-distal patterning of the optic vesicle during early eye development and coloboma.",Directed Link,Negative Increase
30445451,6,elevated,Hedgehog signaling,MOLECULAR FUNCTION,,Hedgehog=ORGANISM; ,alteration of ,proximo-distal patterning,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,cause,"ATXN7 inactivation leads to elevated Hedgehog signaling in the forebrain, causing an alteration of proximo-distal patterning of the optic vesicle during early eye development and coloboma.",Directed Link,Negative Increase
30445451,6,,ATXN7,GENE,inactivation,Hedgehog=ORGANISM; ,alteration of ,proximo-distal patterning,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,cause,"ATXN7 inactivation leads to elevated Hedgehog signaling in the forebrain, causing an alteration of proximo-distal patterning of the optic vesicle during early eye development and coloboma.",Directed Link,Negative Increase
30445451,9,,ATXN7,GENE,,Hedgehog=ORGANISM; ,,vertebrate eye morphogenesis ,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,play,"Together, our data indicate that ATXN7 plays an essential role in vertebrate eye morphogenesis and photoreceptor differentiation, and its loss of function may contribute to the development of human coloboma.",Directed Link,Directed Link
30445451,9,,ATXN7,GENE,,Hedgehog=ORGANISM; ,,photoreceptor differentiation,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,play,"Together, our data indicate that ATXN7 plays an essential role in vertebrate eye morphogenesis and photoreceptor differentiation, and its loss of function may contribute to the development of human coloboma.",Directed Link,Directed Link
30445451,9, loss of function,ATXN7,GENE,,Hedgehog=ORGANISM; ,,coloboma,PHENOTYPE,,POSITIVE,ACTIVE,contribute,"Together, our data indicate that ATXN7 plays an essential role in vertebrate eye morphogenesis and photoreceptor differentiation, and its loss of function may contribute to the development of human coloboma.",Directed Link,Directed Link
30445455,5,,Toll-like receptor 4,PROTEIN,,NA;,,LPS,COMPOUND,,POSITIVE,ACTIVE, recognize,"Because LPS is recognized by Toll-like receptor 4 (TLR4), which induces the signalling cascade, TLR4 signalling was assumed to be impaired in Fut8-/- cells.",Directed Link,Directed Link
30445455,6,,fucose,COMPOUND,,NA;,,CD14,GENE,,POSITIVE,ACTIVE,reduce,"Flow cytometry analyses revealed, however, that a lack of core fucose reduced the expression of, not TLR4, but CD14, which is necessary for TLR4 endocytosis.",Directed Link,Negative Decrease
30445455,7,,CD14,GENE,,NA;,,TLR2 signalling,MOLECULAR FUNCTION,,POSITIVE,ACTIVE,necessary,"Because CD14 is necessary for TLR2 signalling, the immune response of TLR2 was also impaired in Fut8-/- macrophages.",Directed Link,Directed Link
30445455,9,,core fucose,COMPOUND,,NA;,CD14-dependent,TLR4 and TLR2 signalling ,MOLECULAR FUNCTION,,POSITIVE,ACTIVE,essential,"These findings indicate that core fucose is essential for CD14-dependent TLR4 and TLR2 signalling in murine macrophage activity, leading to DSS-induced experimental colitis.",Directed Link,Directed Link
30445455,9,,core fucose,COMPOUND,,NA;,DSS-induced experimental,colitis,PHENOTYPE,,POSITIVE,ACTIVE,lead,"These findings indicate that core fucose is essential for CD14-dependent TLR4 and TLR2 signalling in murine macrophage activity, leading to DSS-induced experimental colitis.",Directed Link,Positive Cause
30445456,0,,hedgehog,GENE,,NA;,,Runx2,GENE,,POSITIVE,ACTIVE,induce,"Runx2 regulates cranial suture closure by inducing hedgehog, Fgf, Wnt, and Pthlh signaling pathway gene expression in suture mesenchymal cells.",Directed Link,Positive Cause
30445456,0,,Fgf,GENE,,NA;,,Runx2,GENE,,POSITIVE,ACTIVE,induce,"Runx2 regulates cranial suture closure by inducing hedgehog, Fgf, Wnt, and Pthlh signaling pathway gene expression in suture mesenchymal cells.",Directed Link,Positive Cause
30445456,0,,Pthlh,GENE,,NA;,,Runx2,GENE,,POSITIVE,ACTIVE,induce,"Runx2 regulates cranial suture closure by inducing hedgehog, Fgf, Wnt, and Pthlh signaling pathway gene expression in suture mesenchymal cells.",Directed Link,Positive Cause
30445456,1,,heterozygous mutations in RUNX2,GENE,,NA;,,Cleidocranial dysplasia ,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Cleidocranial dysplasia (CCD, #119600), which is characterized by hypoplastic clavicles, open fontanelles, supernumerary teeth and a short stature, is caused by heterozygous mutations in RUNX2.",Directed Link,Positive Cause
30445456,1,,heterozygous mutations in RUNX2,GENE,,NA;,,CCD,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Cleidocranial dysplasia (CCD, #119600), which is characterized by hypoplastic clavicles, open fontanelles, supernumerary teeth and a short stature, is caused by heterozygous mutations in RUNX2.",Directed Link,Positive Cause
30445456,1,,heterozygous mutations in RUNX2,GENE,,NA;,,hypoplastic clavicles,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Cleidocranial dysplasia (CCD, #119600), which is characterized by hypoplastic clavicles, open fontanelles, supernumerary teeth and a short stature, is caused by heterozygous mutations in RUNX2.",Directed Link,Positive Cause
30445456,1,,heterozygous mutations in RUNX2,GENE,,NA;,,open fontanelles,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Cleidocranial dysplasia (CCD, #119600), which is characterized by hypoplastic clavicles, open fontanelles, supernumerary teeth and a short stature, is caused by heterozygous mutations in RUNX2.",Directed Link,Positive Cause
30445456,1,,heterozygous mutations in RUNX2,GENE,,NA;,,supernumerary teeth,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Cleidocranial dysplasia (CCD, #119600), which is characterized by hypoplastic clavicles, open fontanelles, supernumerary teeth and a short stature, is caused by heterozygous mutations in RUNX2.",Directed Link,Positive Cause
30445456,1,,heterozygous mutations in RUNX2,GENE,,NA;,,short stature,PHENOTYPE,,POSITIVE,ACTIVE,cause,"Cleidocranial dysplasia (CCD, #119600), which is characterized by hypoplastic clavicles, open fontanelles, supernumerary teeth and a short stature, is caused by heterozygous mutations in RUNX2.",Directed Link,Positive Cause
30445466,0,,RNF8,GENE,,NA;,,NONO,GENE,,POSITIVE,ACTIVE,mediate,RNF8 mediates NONO degradation following UV-induced DNA damage to properly terminate ATR-CHK1 checkpoint signaling.,Directed Link,Directed Link
30445466,1,,RNF8,GENE,,NA;,,DNA damage response,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,play,RNF8 plays a critical role in DNA damage response (DDR) to initiate ubiquitination-dependent signaling.,Directed Link,Directed Link
30445466,1,,RNF8,GENE,,NA;,,DDR,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,play,RNF8 plays a critical role in DNA damage response (DDR) to initiate ubiquitination-dependent signaling.,Directed Link,Directed Link
30445466,3,,UV radiation,PHENOTYPE,,NA;,,NONO ubiquitination,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,trigger,We found that: (i) RNF8 ubiquitinates NONO and (ii) UV radiation triggers NONO ubiquitination and its subsequent degradation.,Directed Link,Negative Cause
30445466,3,,UV radiation,PHENOTYPE,,NA;,,subsequent degradation,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,trigger,We found that: (i) RNF8 ubiquitinates NONO and (ii) UV radiation triggers NONO ubiquitination and its subsequent degradation.,Directed Link,Negative Cause
30445466,5,,3 NONO lysine residues,GENE,,NA;,, instability,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE, important,"In addition, we found that 3 NONO lysine residues (positions 279, 290 and 295) are important for conferring its instability in UV-DDR.",Directed Link,Positive Cause
30445466,6,Depletion of ,RNF8,GENE,,NA;,,CHK1 phosphorylation ,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,prolong,"Depletion of RNF8 or expression of NONO with lysine to arginine substitutions at positions 279, 290 and 295 prolonged CHK1 phosphorylation over an extended period of time.",Directed Link,Positive Cause
30444930,0,,beta-1,PROTEIN,,NA;,,murine mast cell release,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,enhance,Soluble transforming growth factor beta-1 enhances murine mast cell release of Interleukin 6 in IgE-independent and Interleukin 13 in IgE-dependent settings in vitro.,Directed Link,Positive Cause
30444976,0,,ER stress response,PHENOTYPE,,Cell=CELL; ,,apoptosis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,induce,Recurrent short-term hypoglycemia and hyperglycemia induce apoptosis and oxidative stress via the ER stress response in immortalized adult mouse Schwann (IMS32) cells.,Directed Link,Positive Cause
30444976,0,,ER stress response,PHENOTYPE,,Cell=CELL; ,,oxidative stress,PHENOTYPE,,POSITIVE,ACTIVE,induce,Recurrent short-term hypoglycemia and hyperglycemia induce apoptosis and oxidative stress via the ER stress response in immortalized adult mouse Schwann (IMS32) cells.,Directed Link,Positive Cause
30444976,0,short-term,hypoglycemia,PHENOTYPE,,Cell=CELL; ,,oxidative stress,PHENOTYPE,,POSITIVE,ACTIVE,induce,Recurrent short-term hypoglycemia and hyperglycemia induce apoptosis and oxidative stress via the ER stress response in immortalized adult mouse Schwann (IMS32) cells.,Directed Link,Positive Cause
30444976,0,short-term,hypoglycemia,PHENOTYPE,,Cell=CELL; ,,apoptosis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,induce,Recurrent short-term hypoglycemia and hyperglycemia induce apoptosis and oxidative stress via the ER stress response in immortalized adult mouse Schwann (IMS32) cells.,Directed Link,Positive Cause
30444976,0,short-term,hyperglycemia,PHENOTYPE,,Cell=CELL; ,,oxidative stress,PHENOTYPE,,POSITIVE,ACTIVE,induce,Recurrent short-term hypoglycemia and hyperglycemia induce apoptosis and oxidative stress via the ER stress response in immortalized adult mouse Schwann (IMS32) cells.,Directed Link,Positive Cause
30444976,0,short-term,hyperglycemia,PHENOTYPE,,Cell=CELL; ,,apoptosis,BIOLOGICAL PROCESS,,POSITIVE,ACTIVE,induce,Recurrent short-term hypoglycemia and hyperglycemia induce apoptosis and oxidative stress via the ER stress response in immortalized adult mouse Schwann (IMS32) cells.,Directed Link,Positive Cause
30444976,1,,oxidative stress,PHENOTYPE,,Cell=CELL; ,,diabetic neuropathy,PHENOTYPE,,POSITIVE,ACTIVE,contribute,Hypoglycemia and fluctuating high or low glucose conditions are under-appreciated sources of oxidative stress contributing to diabetic neuropathy.,Directed Link,Directed Link
30444976,5,,IHG,COMPOUND,,Cell=CELL; ,,Thiobarbituric acid reactive substance,COMPOUND,,POSITIVE,ACTIVE,increase,"Thiobarbituric acid reactive substance (TBARS) levels were increased by HG, LG, IHG, and ILG.",Directed Link,Positive Cause
30444976,5,,ILG,COMPOUND,,Cell=CELL; ,,Thiobarbituric acid reactive substance,COMPOUND,,POSITIVE,ACTIVE,increase,"Thiobarbituric acid reactive substance (TBARS) levels were increased by HG, LG, IHG, and ILG.",Directed Link,Positive Cause
30444976,5,,IHG,COMPOUND,,Cell=CELL; ,,TBARS,COMPOUND,,POSITIVE,ACTIVE,increase,"Thiobarbituric acid reactive substance (TBARS) levels were increased by HG, LG, IHG, and ILG.",Directed Link,Positive Cause
30444976,5,,ILG,COMPOUND,,Cell=CELL; ,,TBARS,COMPOUND,,POSITIVE,ACTIVE,increase,"Thiobarbituric acid reactive substance (TBARS) levels were increased by HG, LG, IHG, and ILG.",Directed Link,Positive Cause
30444976,6,,High glucose,COMPOUND,,Cell=CELL; ,,cleaved caspase-3,GENE,,POSITIVE,ACTIVE,increase,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Positive Cause
30444976,6,,HG and IHG,COMPOUND,,Cell=CELL; ,,cleaved caspase-3,GENE,,POSITIVE,ACTIVE,increase,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Positive Cause
30444976,6,,low glucose,COMPOUND,,Cell=CELL; ,,cleaved caspase-3,GENE,,POSITIVE,ACTIVE,increase,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Positive Cause
30444976,6,,LG and ILG,COMPOUND,,Cell=CELL; ,,cleaved caspase-3,GENE,,POSITIVE,ACTIVE,increase,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Positive Cause
30444976,6,,High glucose,COMPOUND,,Cell=CELL; ,,Bcl-2,GENE,,POSITIVE,ACTIVE,reduce,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Negative Cause
30444976,6,,HG and IHG,COMPOUND,,Cell=CELL; ,,Bcl-2,GENE,,POSITIVE,ACTIVE,reduce,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Negative Cause
30444976,6,,low glucose,COMPOUND,,Cell=CELL; ,,Bcl-2,GENE,,POSITIVE,ACTIVE,reduce,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Negative Cause
30444976,6,,LG and ILG,COMPOUND,,Cell=CELL; ,,Bcl-2,GENE,,POSITIVE,ACTIVE,reduce,High glucose (HG and IHG) and low glucose (LG and ILG) increased the expression of cleaved caspase-3 and reduced that of Bcl-2.,Directed Link,Negative Cause
30444976,7,,low and high glucose,COMPOUND,,Cell=CELL; ,, C/EBP homologous protein,PROTEIN,,POSITIVE,ACTIVE,increase,"In addition, endoplasmic reticulum (ER) stress-responsive transcription factor C/EBP homologous protein (CHOP) expression was increased under low and high glucose conditions.",Directed Link,Positive Cause
